섹션,번호,질문 내용,선택지/점수 방향,안정적인 동반자,열정적인 몰입형,자유로운 유희형,공감 중심 밀착형,독립 보장형
A,1,이번 로밍러브에서 나는 이런 관계를 원한다.,진지한 연애를 시작한다.,2,5,0,2,0
,,,천천히 알아보고 가능하면 이어간다.,5,3,0,2,0
,,,가볍게 만나며 즐거운 만남을 만든다.,0,0,5,0,3
,,,여행/소셜 메이트로 지낸다.,0,0,3,0,5
,,,아직 결정하지 않았다.,0,0,0,0,0
,2,연락·만남 빈도와 스킨십같은 ‘관계 규칙’을 보통 어떻게 정한다?,시작 전에 기준을 명확히 정한다.,5,0,0,0,3
,,,만나 보며 필요할 때 조율한다.,3,4,0,4,0
,,,상황에 따라 유동적으로 정한다.,0,0,3,0,5
,,,합의의 중요도를 낮게 본다.,0,0,4,0,0
,3,안정적인 관계를 위해 개인적인 불편함이나 희생을 감수할 수 있다.,"나는 관계의 평화를 위해 나를 바칠 준비가 된, 헌신적인 사랑꾼이다.",,,,5,0
,,,나는 장기적인 관계의 안정을 위해 나의 개인적인 불편함쯤은 당연히 감수할 줄 아는 성숙한 동반자이다.,5,,,,
,,,나는 관계에 깊이 몰입하는 만큼 상대와의 경험을 위해서라면 어느 정도의 희생은 감수할 수 있다.,,5,,,
,,,"나는 개인의 영역이 크게 침해받지 않는, 독립적인 선에서만 희생을 감수한다.",,,,,5
,,,나는 개인의 자유를 잃는 희생은 절대 감수하지 않는다.,,,5,,
,4,연애 중에도 각자의 일정·공간을 반드시 보장한다.,나는 연애 중에도 각자의 일정과 공간을 절대적으로 보장받아야 한다고 생각하는 사람이다.,0,0,1,0,5
,,,"나는 구속받지 않는 자유로운 연애를 추구하며, 각자의 사생활과 공간을 확실히 구분하고 싶다.",,,5,,1
,,,"나는 관계의 안정을 해치지 않는 선에서 서로의 일정과 공간을 보장하되, 함께하는 시간도 중요하게 생각한다.",5,,,,2
,,,"나는 사랑에 빠지면 상대의 모든 것을 공유하고 싶다. 각자의 공간 보장은 필요하지만, 자주 함께하고 싶다.",,5,,2,
,,,나는 연인과 최대한 많은 시간을 공유하며 정서적으로 밀착하고 싶다. 각자의 공간은 크게 중요하지 않다.,,2,,5,
,5,나는 다음 요소와는 절대 만나지 않는다(최대 3개).,과음과 잦은 음주,4,0,5,0,5
,,,흡연,0,5,0,3,0
,,,위생 관념 부족,5,0,0,0,0
,,,동성/이성 친구가 많다,0,3,0,3,5
,,,장거리 연애,0,0,0,5,0
,,,정치·종교 극단 성향을 드러낸다.,4,4,0,2,0
,,,반려동물 알레르기가 있다.,0,0,3,0,5
,,,결혼 의사가 나와 다르다.,0,0,0,5,0
,,,자녀 계획이 나와 다르다.,0,0,5,0,4
,,,기타(직접 입력한다).,0,3,0,5,0
B,6,연락 빈도는 이 정도가 편하다.,매일 여러 번 주고받는다.,,,,5,
,,,하루 1–2회 정도 주고받는다.,3,5,3,4,2
,,,이틀에 한 번 정도 주고받는다.,5,0,4,0,4
,,,필요할 때만 주고받는다.,0,0,5,0,5
