섹션,문항번호,섹션 질문,문항,유형,선택지1,선택지2,선택지3,선택지4,선택지5,선택지6,선택지7,선택지8,선택지9,선택지10,선택지11,선택지12,선택지13,선택지14
[1] 계획,Q1,[1] 드디어 휴가시즌! 여행을 계획한다.,✈️ 항공편은 어떻게 할까?,단일선택,저렴하지만 선호하지 않는 시간대,비싸지만 선호하는 시간대,,,,,,,,,,,,
[1] 계획,Q2,,🌨️ 출발 전 일기예보를 보니 폭설이 예측된다,단일선택,예약 다 했는데 당연히 떠나야지,공항/숙소 고립 위험… 취소/연기하자,,,,,,,,,,,,
[1] 계획,Q3,,🏠 숙소를 예약할 때 나는,단일선택,안전하고 룸서비스 가능한 4성급+ 호텔,부엌·거실 있는 에어비앤비(집처럼),가성비 최고! 깔끔한 2~3성급 호텔/호스텔,라운지/바/공용공간 활발한 게스트하우스,,,,,,,,,,
[1] 계획,Q4,,📆 일정을 계획할 때 나는,단일선택,시간대별로 촘촘히 계획(예약多),큰 틀만 미리 정하고 현지가서 유연하게,숙소 외에는 아무것도 정하지 않고 간다,SNS에서 본 핫한 식당과 카페를 알아보고 동선을 짠다.,,,,,,,,,,
[2] 공항,Q5,[2] 언제나 설레는 공항에 도착했다.,💺 비행기 좌석 선호은?,단일선택,창가,중간,복도,상관없음,,,,,,,,,,
[2] 공항,Q6,,🙂 탑승이 시작됐다. 나는,단일선택,가장 먼저 줄 선다,줄 생기면 바로 합류한다,줄이 짧아질 때까지 기다렸다 합류한다,,,,,,,,,,,
[3] 식사,Q7,"[3] 여행에서 빠질 수 없는 먹거리, 당신의 스타일은?",🔎 여행지에서 식당은 어떻게 고를까,단일선택,미리 찾아본 로컬 식당,돌아다니다가 눈에 보이는 곳,가벼운 카페나 브런치,맛이 보장된 프랜차이즈,,,,,,,,,,
[3] 식사,Q8,,🫕 웨이팅 60분 인기맛집 vs 바로 먹을 수 있는 로컬식당,단일선택,웨이팅 감수하고 인기맛집,바로 먹고 이동 동선 살린다,,,,,,,,,,,,
[4] 카페,Q9,,☕️ 가장 가고 싶은 카페 스타일은?,단일선택,SNS 핫플 현지 유명 카페,테마/컨셉 강한 카페(동물·영화 등),프랜차이즈(국가별 한정 메뉴 기대),길 걷다 보이는 로컬 카페(즉흥 발견),,,,,,,,,,
[5] 관광,Q10,[4] 본격적으로 여행 스타일을 알아볼게요,😆 이번 여행에서 ‘무엇’을 즐기고 싶으세요?,복수선택,사진 잘 찍고 예쁘게 기록하기,유명 관광지는 꼭 가보기,박물관·미술관에서 천천히 감상하기,로컬 동네를 산책하며 현지 분위기 느끼기,액티비티/패키지 체험으로 빡! 즐기기,,,,,,,,,
[5] 관광,Q11,,📸 사진에 대해 어느 쪽에 가까우세요?,단일선택,구도·빛까지 신경 써서 전문 카메라로 제대로 남기고 싶어요,관광지마다 사진 찍는걸 좋아해요,기록용으로 가볍게 찍으면 충분해요,사진보다는 눈으로 담는 편이에요,,,,,,,,,,
[5] 관광,Q12,,🗽 유명 관광지는 어떻게 생각하세요?,단일선택,핵심 스폿은 꼭 가보고 싶어요,동선 맞으면 가볼래요,꼭 가야 한다는 생각은 없어요,,,,,,,,,,,
[5] 관광,Q13,,🗿 박물관·미술관은 어떤가요?,단일선택,해설/오디오가이드까지 챙겨 즐기는 편이에요,유명한 곳 한두 곳이면 좋아요,실내 전시는 잘 안 가는 편이에요,,,,,,,,,,,
[5] 관광,Q14,,🚶‍♀️ 로컬 산책·동네 구경은요?,단일선택,골목·시장·카페 돌며 오래 머무는 걸 좋아해요,일정에 여유가 있으면 넣고 싶어요,빠른 이동이 더 맞아요,,,,,,,,,,,
[5] 관광,Q15,,🏄 액티비티/패키지는 어느 정도가 좋아요?,단일선택 + 주관식,서핑·하이킹 등 체험을 적극적으로 하고 싶어요,1~2개만 가볍게 체험하면 충분해요,체험보다는 관람/휴식이 좋아요,기타 (꼭해야해),,,,,,,,,,
[5] 관광,Q16,,🌃 야간 활동은?,단일선택,야시장/바/야경 코스 OK!,숙소 휴식이 좋아(보드게임/라운지),다음 날 컨디션 보고 당일 결정,,,,,,,,,,,
[5] 관광,Q17,,🚃 교통수단 선택,단일선택,걷자! 20분은 산책,환승 2회도 OK(요금 절약/현지 경험),택시로 시간 세이브,,,,,,,,,,,
[5] 관광,Q18,,🛍️ 쇼핑/기념품은?,단일선택,대형 쇼핑센터/아울렛 루트 잡는다,동네 마켓·플리마켓 위주,여행은 무겁게 싫다(기념품 최소),,,,,,,,,,,
[관광],Q19,,💸 여행 예산 중 가장 아깝지 않은 지출은?,단일선택,현지 교통비나 로컬 식당에서의 경험,박물관 입장권 / 투어 비용,푹신한 침구와 룸서비스가 있는 럭셔리 숙소 비용,"예쁜 옷이나 악세서리, 기념품 구매 비용",대중교통 패스 / 할인된 투어 상품 비용,,,,,,,,,
[6] 맞춤,Q20,[5] 마지막으로 개인 취향을 알아볼게요,😬 피하고 싶은 것(복수 선택),복수선택,과음/클럽,새벽 일정(아주 이른 기상),장거리 도보/과한 걷기,장거리 운전/야간 운전,"익스트림 액티비티(번지, 패러글라이딩 등)",혼잡한 곳/과한 웨이팅,소음 많은 숙소/파티형 숙소,위생이 불안한 식당/거리 음식,"특정 음식/식이 제한(해산물, 돼지고기, 글루텐 등)","알레르기 유발 요소(동물털, 꽃가루 등)",정치/종교 색채 강한 장소·이벤트,사진·촬영 위주 코스,쇼핑 위주 코스,기타(직접 입력)
[6] 맞춤,21,,💞 나에게 여행의 최고의 활동은?,복수선택 이미지(최대2),그 나라의 현지 시장이나 골목을 탐험하는 것,유명한 건축물 앞에서 설명을 들으며 감상하는 것,침대나 수영장에서 하루종일 멍 대리는 것,유명한 식당에 가서 사진찍고 맛보는 것,유명한 관광명소를 짧게라도 다 둘러보는 것,,,,,,,,,
