문항 번호,섹션 질문,선택지,1. 모험 유랑단,2. 여행 만학도,3. 늘보 베짱이,4. 핫플레이더,5. 가성비 로거,,
Q1,✈️ 항공편은?,저렴하지만 선호 X 시간대,1,2,1,1,5,,
,,비싸지만 선호하는 시간대,1,1,3,4,1,,
Q2,🌨️ 폭설 예측,예약 다 했는데 당연히 떠나야지,3,4,1,2,5,,
,,공항/숙소 고립 위험… 취소/연기하자,1,1,5,4,1,,
Q3,🏠 숙소는?,4성급+ 호텔/룸서비스,1,1,5,3,1,,
,,에어비앤비(집처럼),2,2,1,1,2,,
,,2~3성급 호텔/호스텔,1,1,1,1,5,,
,,라운지 활발 게스트하우스,4,1,1,1,2,,
Q4,📆 일정 계획은?,시간대별로 촘촘히 계획(예약多),1,4,1,3,5,,졸전 2주전 갈등상황이 발생하다 ! | 
,,큰 틀만 정하고 현지서 유연하게,3,1,2,1,1,,
,,숙소 외에는 아무것도 정하지 않고 간다,5,1,2,1,1,,
,,SNS 핫플 알아보고 동선 짠다,1,1,1,5,2,,
Q5,💺 비행기 좌석,창가,3,2,1,4,1,,
,,중간,1,1,1,1,1,,
,,복도,2,1,4,1,3,,
,,상관없음,4,1,1,1,1,,
Q6,🙂 탑승이 시작됐다.,가장 먼저 줄 선다,1,1,1,1,5,,
,,줄 생기면 바로 합류한다,3,2,1,1,1,,
,,줄이 짧아질 때까지 기다렸다 합류한다,1,4,5,3,1,,
Q7,🔎 식당 선택은?,미리 찾아본 로컬 식당,3,5,1,2,1,,
,,돌아다니다가 눈에 보이는 곳,5,1,1,1,1,,
,,가벼운 카페나 브런치,1,1,3,4,1,,
,,맛이 보장된 프랜차이즈,1,1,1,1,3,,
Q8,🫕 웨이팅 60분 vs 로컬,웨이팅 감수하고 인기맛집,1,1,1,5,1,,
,,바로 먹고 이동 동선 살린다,1,3,4,1,5,,
Q9,☕️ 카페 스타일은?,SNS 핫플 현지 유명 카페,1,1,1,5,1,,
,,테마/컨셉 강한 카페,1,1,1,3,1,,
,,프랜차이즈(한정 메뉴 기대),1,1,1,1,3,,
,,길 걷다 보이는 로컬 카페,5,1,3,1,1,,
Q10,😆 무엇을 즐기고 싶으세요? (복수 선택),사진 잘 찍고 예쁘게 기록하기,1,1,1,5,1,,
,,유명 관광지는 꼭 가보기,1,4,1,3,5,,
,,박물관/미술관에서 천천히 감상,1,5,1,1,2,,
,,로컬 동네를 산책하며 현지 분위기 느끼기,5,1,4,1,1,,
,,액티비티/패키지 체험으로 빡! 즐기기,4,1,1,1,3,,
Q11,📸 사진에 대해?,구도·빛까지 신경 써서 전문 카메라로,1,1,1,5,1,,
,,관광지마다 사진 찍는걸 좋아해요,1,1,1,4,3,,
,,기록용으로 가볍게 찍으면 충분해요,4,1,3,1,1,,
,,사진보다는 눈으로 담는 편이에요,3,4,5,1,1,,
Q12,🗽 유명 관광지는?,핵심 스폿은 꼭 가보고 싶어요,1,5,1,4,3,,
,,동선 맞으면 가볼래요,3,1,1,1,5,,
,,꼭 가야 한다는 생각은 없어요,5,1,5,1,1,,
Q13,🗿 박물관/미술관은?,해설/오디오가이드까지 챙겨 즐기는 편이에요,1,5,1,1,1,,
,,유명한 곳 한두 곳이면 좋아요,1,3,1,2,1,,
