문항,선택지,타입,가점
Q1,진지한 연애를 시작한다.,대화형 안정파,2
Q1,진지한 연애를 시작한다.,낭만 플래너,1
Q1,천천히 알아보고 가능하면 이어간다.,공간 존중형,2
Q1,천천히 알아보고 가능하면 이어간다.,대화형 안정파,1
Q1,가볍게 만나며 즐거운 만남을 만든다.,활력 즉흥형,2
Q1,가볍게 만나며 즐거운 만남을 만든다.,나이트아웃형,1
Q1,여행/소셜 메이트로 지낸다(연애 의도 없음).,활력 즉흥형,2
Q1,여행/소셜 메이트로 지낸다(연애 의도 없음).,공간 존중형,1
Q1,아직 결정하지 않았다.,공간 존중형,1
Q2,시작 전에 기준을 명확히 정한다.,대화형 안정파,2
Q2,시작 전에 기준을 명확히 정한다.,낭만 플래너,1
Q2,만나 보며 필요할 때 조율한다.,공간 존중형,1
Q2,상황에 따라 유동적으로 정한다.,활력 즉흥형,1
Q2,상황에 따라 유동적으로 정한다.,나이트아웃형,1
Q2,합의의 중요도를 낮게 본다.,활력 즉흥형,2
Q3,리커트 4–5,대화형 안정파,1
Q3,리커트 4–5,공간 존중형,1
Q3,리커트 1–2,활력 즉흥형,1
Q3,리커트 1–2,나이트아웃형,1
Q4,리커트 4–5,공간 존중형,2
Q4,리커트 1–2,대화형 안정파,1
Q4,리커트 1–2,낭만 플래너,1
Q6,매일 여러 번 주고받는다.,대화형 안정파,2
Q6,하루 1–2회 정도 주고받는다.,대화형 안정파,1
Q6,하루 1–2회 정도 주고받는다.,공간 존중형,1
Q6,이틀에 한 번 정도 주고받는다.,공간 존중형,1
Q6,필요할 때만 주고받는다.,공간 존중형,1
Q6,필요할 때만 주고받는다.,활력 즉흥형,1
Q7,10분 내로 온다.,대화형 안정파,1
Q7,1시간 내로 온다.,대화형 안정파,1
Q7,1시간 내로 온다.,공간 존중형,1
Q7,반나절 내로 온다.,대화형 안정파,1
Q7,반나절 내로 온다.,공간 존중형,1
Q7,하루 내로 온다.,공간 존중형,1
Q7,크게 상관하지 않는다.,공간 존중형,1
Q7,크게 상관하지 않는다.,활력 즉흥형,1
Q8,리커트 4–5,대화형 안정파,1
Q8,리커트 1–2,공간 존중형,1
Q8,리커트 1–2,활력 즉흥형,1
Q9,자주 한다.,대화형 안정파,1
Q9,자주 한다.,낭만 플래너,1
Q9,가끔 한다.,공간 존중형,1
Q9,거의 하지 않는다.,공간 존중형,1
Q10,감정과 생각위주로 길게 나눈다.,대화형 안정파,1
Q10,일상을 거의 모두 공유한다.,대화형 안정파,1
Q10,핵심만 간결하게 주고받는다.,공간 존중형,1
Q10,상황에 맞춰 유연하게 조절한다.,활력 즉흥형,1
Q10,상황에 맞춰 유연하게 조절한다.,낭만 플래너,1
Q11,바로 대화를 제안한다.,대화형 안정파,2
Q11,먼저 진정한 뒤 대화한다.,공간 존중형,1
Q11,글/메모로 정리해 공유한다.,낭만 플래너,1
Q11,글/메모로 정리해 공유한다.,대화형 안정파,1
Q11,일단 거리를 두고 나중에 다룬다.,활력 즉흥형,1
Q12,비난·일반화를 금지한다.,대화형 안정파,1
Q12,비난·일반화를 금지한다.,공간 존중형,1
Q12,감정 표현의 자유를 우선한다.,활력 즉흥형,1
Q12,감정 표현의 자유를 우선한다.,나이트아웃형,1
Q12,상황에 따라 원칙을 조정한다.,낭만 플래너,1
Q12,큰 원칙을 두지 않는다.,활력 즉흥형,1
Q13,빠르게 사과하고 재합의한다.,대화형 안정파,1
Q13,빠르게 사과하고 재합의한다.,낭만 플래너,1
Q13,시간을 두고 정리한 뒤 사과한다.,공간 존중형,1
Q13,제3자의 조언을 구한다.,대화형 안정파,1
Q13,묵과하고 넘어간다.,활력 즉흥형,1
Q14,이성 친구·동료 사전 공유,대화형 안정파,1
Q14,상황에 따라 사후 공유,공간 존중형,1
Q14,사적인 1:1 만남 가능하면 피함,낭만 플래너,1
Q14,사적인 1:1 만남 가능하면 피함,대화형 안정파,1
Q14,"상호 신뢰, 별도 공유 요구하지 않음",공간 존중형,1
Q14,"상호 신뢰, 별도 공유 요구하지 않음",활력 즉흥형,1
Q15,연락·만남·예산 최소 규칙 4–5(동의 높음),대화형 안정파,1
Q15,연락·만남·예산 최소 규칙 4–5(동의 높음),낭만 플래너,1
Q15,리커트 1–2(동의 낮음),활력 즉흥형,1
Q15,리커트 1–2(동의 낮음),나이트아웃형,1
Q16,조용한 카페를 선택한다.,대화형 안정파,1
Q16,조용한 카페를 선택한다.,공간 존중형,1
Q16,가볍게 식사를 한다.,대화형 안정파,1
Q16,가볍게 식사를 한다.,공간 존중형,1
Q16,전시·산책을 즐긴다.,낭만 플래너,1
Q16,전시·산책을 즐긴다.,대화형 안정파,1
Q16,액티비티를 체험한다.,활력 즉흥형,1
Q16,분위기 좋은 바를 선택한다.,나이트아웃형,2
Q17,내가 계획·예약을 주도한다.,낭만 플래너,2
Q17,서로 번갈아 주도한다.,대화형 안정파,1
Q17,상대가 주도하길 선호한다.,공간 존중형,1
Q17,즉흥 제안을 선호한다.,활력 즉흥형,1
Q17,즉흥 제안을 선호한다.,나이트아웃형,1
Q18,더치페이를 한다.,공간 존중형,1
Q18,더치페이를 한다.,대화형 안정파,1
Q18,번갈아 계산한다.,공간 존중형,1
Q18,번갈아 계산한다.,대화형 안정파,1
Q18,제안한 사람이 먼저 낸다.,낭만 플래너,1
Q18,상황에 따라 유연하게 정한다.,활력 즉흥형,1
Q19,마시지 않는다.,공간 존중형,1
Q19,마시지 않는다.,대화형 안정파,1
Q19,가볍게 마신다.,공간 존중형,1
Q19,가볍게 마신다.,대화형 안정파,1
Q19,분위기에 따라 마신다.,나이트아웃형,2
Q19,즐겨 마신다.,나이트아웃형,2
Q20,공공장소에서는 애정 표현을 최소화한다.,공간 존중형,1
Q20,포옹은 편하다.,대화형 안정파,1
Q20,포옹은 편하다.,낭만 플래너,1
Q20,짧은 키스는 괜찮다.,대화형 안정파,1
Q20,짧은 키스는 괜찮다.,낭만 플래너,1
Q20,사진·SNS에서 커플 사진/표현이 편하다.,나이트아웃형,2
Q20,모두 괜찮다. 혹은 그 이상도,나이트아웃형,2
Q21,아침형으로 생활한다.,공간 존중형,1
Q21,아침형으로 생활한다.,낭만 플래너,1
Q21,중간형으로 생활한다.,대화형 안정파,0
Q21,저녁형으로 생활한다.,나이트아웃형,1
Q22,집에서 홀로 회복한다.,공간 존중형,1
Q22,취미·여가를 즐긴다.,공간 존중형,1
Q22,친구와 약속을 잡는다.,활력 즉흥형,1
Q22,친구와 약속을 잡는다.,나이트아웃형,1
Q22,즉흥 약속을 즐긴다/그때 그때 다르다.,활력 즉흥형,1
Q22,즉흥 약속을 즐긴다/그때 그때 다르다.,나이트아웃형,1
Q22,(연애할때) 특별한 일이 없는 한 항상 연인과 보낸다.,대화형 안정파,1
Q23,리커트 4–5,활력 즉흥형,1
Q23,리커트 4–5,나이트아웃형,1
Q23,리커트 1–2,공간 존중형,1
Q24,리커트 4–5,나이트아웃형,2
Q24,리커트 4–5,활력 즉흥형,1
Q24,리커트 1–2,공간 존중형,1
Q24,리커트 1–2,대화형 안정파,1
Q25,안정과 일상 루틴을 우선한다.,대화형 안정파,2
Q25,안정과 일상 루틴을 우선한다.,공간 존중형,1
Q25,성장과 도전 기회를 우선한다.,활력 즉흥형,2
Q25,성장과 도전 기회를 우선한다.,낭만 플래너,1
Q25,안정과 성장의 균형을 맞춘다.,낭만 플래너,2
Q25,아직 모르겠다.,공간 존중형,1
