섹션,문항번호,섹션질문,문항,유형,선택지1,선택지2,선택지3,선택지4,선택지5,
A 관계 목표·경계,Q1,❤️ 관계 목표에 대해 알려주세요,이번 로밍러브에서 나는 이런 관계를 원한다.,단일선택,진지한 연애를 시작한다.,천천히 알아보고 가능하면 이어간다.,가볍게 만나며 즐거운 만남을 만든다.,여행/소셜 메이트로 지낸다(연애 의도 없음).,아직 결정하지 않았다.,
,Q2,,연락·만남 빈도와 스킨십같은 ‘관계 규칙’을 보통 어떻게 정한다?,단일선택,시작 전에 기준을 명확히 정한다.,만나 보며 필요할 때 조율한다.,상황에 따라 유동적으로 정한다.,합의의 중요도를 낮게 본다.,,
,Q3,,안정적인 관계를 위해 개인적인 불편함이나 희생을 감수할 수 있다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q4,,연애 중에도 각자의 일정·공간을 반드시 보장한다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q5,,나는 다음 요소와는 절대 만나지 않는다(최대 3개).,복수선택,과음과 잦은 음주,흡연,위생 관념 부족,동성/이성 친구가 많다,장거리 연애,ㅇ
,,,,,정치·종교 극단 성향을 드러낸다.,반려동물 알레르기가 있다.,결혼 의사가 나와 다르다.,자녀 계획이 나와 다르다.,기타(직접 입력한다).,
B 소통·연락,Q6,"🧡 소통, 연락에 대해서 어떻게 생각하세요?",연락 빈도는 이 정도가 편하다.,단일선택,매일 여러 번 주고받는다.,하루 1–2회 정도 주고받는다.,이틀에 한 번 정도 주고받는다.,필요할 때만 주고받는다.,,
,Q7,,답장 속도는 이렇게 기대한다.,단일선택,10분 내로 온다.,1시간 내로 온다.,반나절 내로 온다.,하루 내로 온다.,크게 상관하지 않는다.,
,Q8,,늦답/읽씹이 이어지면 불안이 커진다.,리커트(1–5),1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q9,,"연인과의 관계가 끝날까 봐 두렵거나, 버림받는 것에 대한 공포감이 크다.",리커트,1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
,Q10,,연인에게 나의 깊은 사적인 비밀이나 고민을 털어놓는 것이 편하다.,리커트,1 전혀 아니다,2 조금 그렇다,3 보통이다,4 대체로 그렇다,5 매우 그렇다,
